ChannelTitle=,0 Z Force Plate,1 Z Force Plate,Summed Z Force,ZForce %MVC,EMG1 RBack or Forearm,EMG1 RBack filtered,EMG1 RBack median power,EMG1 RBack smoothed,EMG2 RGlute,EMG2 RGlute filtered,EMG2 RGlute median power,EMG2 RGlute smoothed,EMG3 RHam,EMG3 RHam filtered,EMG3 RHam median power,EMG3 RHam smoothed,EMG4 RQuad,EMG4 RQuad filtered,EMG4 RQuad median power,EMG4 RQuad smoothed
461.9943,582.3827,695.2902,1277.673,29.74753,0.1206563,0.1339641,0,0.06128396,-0.01667187,-0.001851881,0,0.01799642,0.0199375,0.01819424,0,0.0277016,-0.00721875,-0.006999045,0,0.005501767
461.9952,582.3827,695.2902,1277.673,29.74753,0.1411094,0.1532745,0,0.06128396,-0.023375,-0.00926253,0,0.01799642,-0.05259375,-0.0475704,0,0.0277016,-0.00515625,-0.004363506,0,0.005501767
461.9961,582.3827,694.6689,1277.052,29.71809,0.1062188,0.1187137,0,0.06128396,-0.02475,-0.01004105,0,0.01799642,-0.05723437,-0.05870746,0,0.0277016,-0.004125,-0.003639412,0,0.005501767
461.997,581.7631,694.0477,1275.811,29.65928,-0.006875,0.005453652,0,0.06128396,-0.02440625,-0.01015161,0,0.01799642,-0.02165625,-0.01812587,0,0.0277016,-0.006359375,-0.005946962,0,0.005501767
461.9979,581.7631,694.0477,1275.501,29.6446,-0.1215156,-0.1085227,0,0.06128396,-0.03059375,-0.01600235,0,0.01799642,0.01220313,0.0129709,0,0.0277016,-0.006875,-0.005962816,0,0.005501767
461.9988,581.1435,694.0477,1275.191,29.62991,-0.1729062,-0.1616354,0,0.06128396,-0.03609375,-0.02178396,0,0.01799642,0.015125,0.01630441,0,0.0277016,-0.009109375,-0.00906715,0,0.005501767
461.9997,581.7631,694.6689,1276.432,29.68873,-0.1777187,-0.1635645,0,0.06128396,-0.03540625,-0.02082945,0,0.01799642,-0.033,-0.03040667,0,0.0277016,-0.01014062,-0.009029772,0,0.005501767
462.0006,581.7631,694.0477,1275.811,29.65928,-0.1357812,-0.1253736,0,0.06128396,-0.03695312,-0.02266326,0,0.01799642,-0.05517187,-0.05485796,0,0.0277016,-0.002921875,-0.002821483,0,0.005501767
462.0015,581.7631,694.0477,1275.811,29.65928,-0.089375,-0.07499544,0,0.06128396,-0.04365625,-0.02906081,0,0.01799642,-0.01976562,-0.0174342,0,0.0277016,-0.00275,-0.001976872,0,0.005501767
462.0024,581.7631,693.4264,1275.189,29.62983,-0.0488125,-0.03778976,0,0.06128396,-0.03953125,-0.02523114,0,0.01799642,0.0130625,0.01459935,0,0.0277016,-0.00240625,-0.001742231,0,0.005501767
462.0033,582.3827,694.0477,1276.43,29.68865,-0.02148437,-0.008441262,0,0.06128396,-0.0323125,-0.01776334,0,0.01799642,0.028875,0.02945174,0,0.0277016,0.001375,0.001484306,0,0.005501767
462.0042,582.3827,694.6689,1277.052,29.71809,0.00309375,0.01588661,0,0.06128396,-0.03179687,-0.01741632,0,0.01799642,0.0336875,0.03698213,0,0.0277016,6.25278E-16,0.001262608,0,0.005501767
462.0051,581.7631,695.9115,1277.675,29.74761,0.005328125,0.01659486,0,0.06128396,-0.0336875,-0.0192316,0,0.01799642,0.03317188,0.03250838,0,0.0277016,6.25278E-16,-0.000259106,0,0.005501767
462.006,581.7631,695.9115,1278.296,29.77706,-0.01048437,0.003676643,0,0.06128396,-0.03575,-0.02128557,0,0.01799642,0.04365625,0.04734957,0,0.0277016,6.25278E-16,0.001287341,0,0.005501767
462.0069,581.7631,696.5328,1278.606,29.79174,-0.01460937,-0.004051339,0,0.06128396,-0.03385937,-0.01945634,0,0.01799642,0.04623438,0.04608347,0,0.0277016,0.00240625,0.002492804,0,0.005501767
462.0078,582.3827,696.5328,1278.916,29.80642,-0.02698437,-0.01284755,0,0.06128396,-0.03007812,-0.01560713,0,0.01799642,-0.008078125,-0.005574676,0,0.0277016,-0.0020625,-0.001413378,0,0.005501767
462.0087,581.7631,695.9115,1277.675,29.74761,-0.02320312,-0.01206485,0,0.06128396,-0.03042187,-0.01596958,0,0.01799642,-0.02148437,-0.02019941,0,0.0277016,-0.00515625,-0.004294698,0,0.005501767
462.0096,581.7631,695.2902,1277.053,29.71817,-0.02354687,-0.01025575,0,0.06128396,-0.02526562,-0.01089408,0,0.01799642,0.009453125,0.01074253,0,0.0277016,-0.00378125,-0.00384652,0,0.005501767
462.0105,581.7631,695.2902,1277.053,29.71817,-0.0295625,-0.01764859,0,0.06128396,-0.0185625,-0.003980097,0,0.01799642,0.02440625,0.02627949,0,0.0277016,-0.004125,-0.002795362,0,0.005501767
462.0114,581.1435,695.2902,1276.434,29.6888,-0.034375,-0.02152669,0,0.06128396,-0.0185625,-0.004314002,0,0.01799642,0.02921875,0.03071714,0,0.0277016,-0.00103125,-0.001210053,0,0.005501767
462.0123,581.1435,695.2902,1276.434,29.6888,-0.03935937,-0.02742701,0,0.06128396,-0.01357812,0.001063775,0,0.01799642,0.03007813,0.03104942,0,0.0277016,-0.0006875,0.000391273,0,0.005501767
462.0132,581.7631,694.6689,1276.432,29.68873,-0.03128125,-0.01809977,0,0.06128396,-0.006875,0.007445428,0,0.01799642,0.03557813,0.03834734,0,0.0277016,0.0055,0.005844999,0,0.005501767
462.0141,582.3827,695.2902,1277.673,29.74753,0.009453125,0.02091657,0,0.06128396,-0.01134375,0.003040735,0,0.01799642,0.01615625,0.01592691,0,0.0277016,0.006875,0.007326261,0,0.005501767
