ChannelTitle=,0 Z Force Plate,1 Z Force Plate,Summed Z Force,EMG1 RBack or Forearm,EMG1 RBack filtered,EMG1 RBack median power,EMG1 RBack smoothed,EMG2 RGlute,EMG2 RGlute filtered,EMG2 RGlute median power,EMG2 RGlute smoothed,EMG3 RHam,EMG3 RHam filtered,EMG3 RHam median power,EMG3 RHam smoothed,EMG4 RQuad,EMG4 RQuad filtered,EMG RQuad median power,EMG4 RQuad smoothed
3533.4981,1483.279,1288.619,2771.899,-0.01564062,-0.0265292,63.22627,0.09898145,0.0240625,0.04318006,49.97009,0.08331109,0.0006875,-0.02883897,134.1509,0.1206895,0.06135938,0.05967702,54.1512,0.02388184
3533.499,1483.279,1288.619,2771.899,0.05139063,0.04675871,63.22627,0.09903353,-0.03832812,-0.01681293,49.97009,0.08292311,0.0873125,0.07915471,134.1509,0.1202188,0.04451563,0.04389061,54.1512,0.02378055
3533.4999,1483.279,1288.619,2771.28,0.1265,0.1232361,63.22627,0.09908726,-0.09882812,-0.07852948,49.97009,0.08253513,0.04176563,0.02536847,134.1509,0.1197496,0.02990625,0.02894744,54.1512,0.02367237
3533.5008,1481.421,1289.241,2770.661,0.1811563,0.1823853,63.22627,0.09913234,-0.1399062,-0.1188605,49.97009,0.08216208,0.01890625,-0.000808633,134.1509,0.1192844,0.015125,0.01556239,54.1512,0.02356097
3533.5017,1480.181,1290.483,2770.664,0.1832188,0.1881482,63.22627,0.09915372,-0.1632812,-0.1420137,49.97009,0.08178902,-0.03970312,-0.0502746,134.1509,0.1188181,0.0048125,0.004507594,54.1512,0.0234483
3533.5026,1480.801,1291.726,2772.527,0.09178125,0.0999726,63.22627,0.09914925,-0.1717031,-0.1511047,49.97009,0.08141597,-0.03523437,-0.05203247,134.1509,0.1183514,-0.0006875,0.000755154,54.1512,0.02333508
3533.5035,1482.04,1290.483,2772.523,-0.06514062,-0.05259344,63.22627,0.09913916,-0.1572656,-0.1357841,49.97009,0.08102799,-0.00103125,-0.02057177,134.1509,0.1178934,-0.0061875,-0.005424933,54.1512,0.02322132
3533.5044,1482.04,1288.619,2770.66,-0.1892344,-0.1728663,63.22627,0.09912797,-0.1273594,-0.1069204,49.97009,0.08062509,-0.01735937,-0.01926468,134.1509,0.1174365,-0.01701562,-0.0150975,54.1512,0.02310699
3533.5053,1481.421,1287.377,2768.797,-0.2299687,-0.2106637,63.22627,0.09909302,-0.1129219,-0.09203653,49.97009,0.08020726,-0.02784375,-0.05986017,134.1509,0.1169787,-0.012375,-0.0099821,54.1512,0.02299149
3533.5062,1480.801,1286.756,2767.556,-0.2206875,-0.1958475,63.22627,0.09902243,-0.1012344,-0.0808404,49.97009,0.07977452,-0.1285625,-0.1196256,134.1509,0.116517,-0.000859375,0.001219392,54.1512,0.02287528
3533.5071,1480.181,1285.513,2765.694,-0.1906094,-0.1644445,63.22627,0.09892106,-0.07201562,-0.05225637,49.97009,0.07934177,0.05035938,0.01757643,134.1509,0.1160444,0.00034375,0.004311923,54.1512,0.02275889
3533.508,1480.181,1285.513,2765.075,-0.1476406,-0.1159429,63.22627,0.09879793,-0.05328125,-0.03311483,49.97009,0.07890903,0.1600156,0.1662916,134.1509,0.1155736,-0.00275,-8.82E-05,54.1512,0.02264236
3533.5089,1479.562,1285.513,2765.074,-0.1029531,-0.06887854,63.22627,0.098664,-0.04932812,-0.03087643,49.97009,0.07846136,0.0900625,0.06945662,134.1509,0.1150833,-0.01117187,-0.006396466,54.1512,0.02252528
3533.5098,1480.181,1284.892,2765.073,-0.09109375,-0.05521437,63.22627,0.09852607,-0.0391875,-0.01970327,49.97009,0.07802862,-0.06582812,-0.0693712,134.1509,0.1145885,-0.00790625,-0.003892071,54.1512,0.02240843
3533.5107,1480.801,1283.028,2763.829,-0.1222031,-0.07966859,63.22627,0.09838581,-0.0240625,-0.006831968,49.97009,0.07758095,-0.0598125,-0.06691197,134.1509,0.1140884,-0.007390625,-0.002545332,54.1512,0.02229311
3533.5116,1480.801,1282.407,2763.208,-0.1809844,-0.1427248,63.22627,0.09824027,-0.01323437,0.004965091,49.97009,0.0771482,0.01804688,0.01020597,134.1509,0.1135839,-0.01082812,-0.005171473,54.1512,0.02217928
3533.5125,1479.562,1280.543,2760.105,-0.2287656,-0.1794406,63.22627,0.09807838,0.0089375,0.02514745,49.97009,0.07670054,0.03334375,0.03115982,134.1509,0.1130787,-0.007390625,-0.002517644,54.1512,0.02206676
3533.5134,1477.083,1279.3,2756.383,-0.1674062,-0.1266223,63.22627,0.09789092,0.01804688,0.03444144,49.97009,0.07625287,0.007046875,0.004773878,134.1509,0.1125791,-0.01220312,-0.00537618,54.1512,0.02195457
3533.5143,1475.844,1278.679,2754.523,-0.09160937,-0.03917143,63.22627,0.09769009,0.01117188,0.0264049,49.97009,0.0758052,-0.00103125,-0.00529231,134.1509,0.1120822,-0.01839062,-0.01297873,54.1512,0.02184184
3533.5152,1475.844,1277.436,2753.28,-0.02354687,0.02080733,63.22627,0.09748808,0.00446875,0.0189072,49.97009,0.07535753,-0.01753125,-0.01110908,134.1509,0.1115857,-0.02217187,-0.01494349,54.1512,0.0217287
3533.5161,1475.225,1274.33,2749.554,-0.004125,0.04766639,63.22627,0.09728662,0.002234375,0.01620862,49.97009,0.07490987,-0.06325,-0.06791759,134.1509,0.1110925,-0.017875,-0.01146323,54.1512,0.02161846
3533.517,1475.225,1274.33,2746.45,0.01357813,0.0613427,63.22627,0.09708393,-0.007734375,0.005041347,49.97009,0.07444728,-0.1041562,-0.0939294,134.1509,0.110596,-0.01546875,-0.008316549,54.1512,0.02151193
3533.5179,1474.605,1271.845,2744.278,0.0158125,0.06486206,63.22627,0.09687985,-0.03042187,-0.01817062,49.97009,0.07399961,-0.02285937,-0.02164608,134.1509,0.1100924,-0.01753125,-0.01009226,54.1512,0.02140674
3533.5188,1472.746,1269.36,2742.106,0.006015625,0.05515842,63.22627,0.09667843,-0.04348437,-0.03196382,49.97009,0.07355194,-0.01684375,-0.008151987,134.1509,0.1095895,-0.01460937,-0.007596311,54.1512,0.02130069
3533.5197,1472.127,1268.117,2740.244,0.01082813,0.05655672,63.22627,0.09647986,-0.03832812,-0.02805558,49.97009,0.07308935,-0.02217187,-0.0125215,134.1509,0.1090852,-0.01014062,-0.001999695,54.1512,0.02119609
3533.5206,1470.268,1267.496,2737.763,0.0226875,0.07039054,63.22627,0.09628258,-0.02835937,-0.01786292,49.97009,0.07262676,0.02646875,0.03415204,134.1509,0.1085839,-0.01048437,-0.003455749,54.1512,0.02109536
3533.5215,1469.029,1266.253,2735.282,0.06135938,0.1034802,63.22627,0.09608326,-0.01753125,-0.009166411,49.97009,0.07216417,0.01615625,0.03046669,134.1509,0.1080815,-0.01082812,-0.002439871,54.1512,0.02099771
3533.5224,1468.409,1265.011,2733.42,0.09401563,0.1377722,63.22627,0.09587587,-0.01839062,-0.008854655,49.97009,0.07171651,-0.0075625,0.003847912,134.1509,0.1075862,-0.0055,0.001730934,54.1512,0.02090283
3533.5233,1467.789,1263.768,2731.557,0.07803125,0.1159743,63.22627,0.09565287,-0.0103125,-0.0036275,49.97009,0.07125392,-0.06325,-0.04949343,134.1509,0.1070991,-0.008421875,-0.000209418,54.1512,0.02081128
3533.5242,1467.789,1261.283,2729.072,0.03609375,0.07400281,63.22627,0.09541858,0.00825,0.01689027,49.97009,0.07079133,-0.08353125,-0.06560145,134.1509,0.1066265,-0.009796875,-0.002265056,54.1512,0.02072199
3533.5251,1465.931,1259.419,2725.35,0.01925,0.0525127,63.22627,0.09517933,0.03575,0.0411407,49.97009,0.07032874,-0.01615625,-0.00396262,134.1509,0.1061583,-0.0089375,-0.001152336,54.1512,0.02063362
3533.526,1465.931,1259.419,2721.632,0.008421875,0.03904435,63.22627,0.09493736,0.06084375,0.06848073,49.97009,0.06986615,-0.01598437,0.005996135,134.1509,0.1057123,-0.0048125,0.002905716,54.1512,0.02054686
3533.5269,1462.213,1259.419,2719.462,0.01478125,0.04287259,63.22627,0.09469456,0.08060938,0.08545444,49.97009,0.06940356,-0.009625,0.004391873,134.1509,0.1052999,6.25E-16,0.007373966,54.1512,0.02046113
